simulation_id,mass1,mass2,spin1x,spin1y,spin1z,spin2x,spin2y,spin2z,distance,inclination,coa_phase,polarization,longitude,latitude,geocent_end_time,geocent_end_time_ns
sim_inspiral:simulation_id:176,8.094637,1.35075,-0.06657673,0.06955262,-0.1737081,0.02023521,0.02294467,-0.006436389,593.835,2.489137,4.873055,6.136876,2.340065,0.9316857,1327817212,734720297
sim_inspiral:simulation_id:193,6.940598,1.238896,0.1413325,0.1294052,0.08289631,0.002744953,-0.01585883,-0.003581143,305.873,1.060313,5.793089,0.121197,5.339215,1.043586,1328022614,119071434
sim_inspiral:simulation_id:196,8.726379,1.428905,0.04185705,0.1969564,0.1026387,-0.007636638,-0.00995856,0.02002352,528.726,0.7191107,2.120521,3.833725,3.587581,-0.2563008,1328046826,820762717
sim_inspiral:simulation_id:1554,6.350999,1.385548,-0.2261327,-0.07510657,0.3105231,-4.861835e-05,0.0004527966,8.652261e-05,367.8848,1.537724,3.668761,2.054229,2.447774,-0.536262,1347169723,560002160
sim_inspiral:simulation_id:1572,7.878938,1.452619,-0.02730824,-0.04723179,-0.04104998,0.01350623,-0.004248635,-0.01101465,186.7212,2.87669,0.8862815,5.367337,2.591003,-0.1168516,1347393334,303180991
sim_inspiral:simulation_id:1595,8.124349,1.311291,0.09203732,0.1645537,-0.2275674,-0.003481389,-0.0146488,-0.001313607,352.4863,2.419507,5.955689,5.165882,4.960592,0.8558307,1347762190,232318458
sim_inspiral:simulation_id:1606,8.719498,1.198325,0.03149712,0.01237846,-0.007565713,-0.02975555,0.008936472,-0.003599409,403.3503,0.8394735,6.051695,2.814969,0.960171,0.3353924,1347869032,522267764
sim_inspiral:simulation_id:1610,7.254668,1.263054,-0.05700971,-0.1917785,-0.0644995,0.01246635,-0.0107865,0.01407887,234.6637,2.587249,4.553346,5.809268,6.069666,-0.6084515,1347962335,816038472
sim_inspiral:simulation_id:1613,7.744925,1.406926,-0.03657558,0.057351,-0.003490735,-0.03230819,-0.002276259,-0.00130336,353.53,2.867083,0.500515,2.728992,0.7776012,0.2865865,1348019657,9019239
sim_inspiral:simulation_id:1629,7.998295,1.29203,-0.09288178,-0.01555595,-0.07795446,-0.008980632,0.03526532,0.03319317,212.4989,1.815915,0.2433241,0.02866112,2.293747,0.2217328,1348237732,731407186
sim_inspiral:simulation_id:1630,9.77142,1.196813,-0.05421326,0.1349824,-0.01408981,-0.01009906,0.003068546,0.0106466,401.9586,0.9162108,6.091528,1.020981,4.179334,0.2787804,1348266464,956483029
sim_inspiral:simulation_id:1660,6.779241,1.555548,0.264752,0.1800523,0.3541167,-0.007459006,0.004927014,-0.02457578,404.4049,1.215442,2.813138,0.5449417,2.428124,-0.5781782,1348796685,115226103
sim_inspiral:simulation_id:1661,8.814968,1.376537,-0.02072744,0.1518177,-0.01886038,0.01459591,-0.01040392,0.03184161,145.9653,0.8085847,3.063248,3.940379,0.05829573,-0.06029844,1348852487,931171277
